transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date,is_suspicious
TXN00000007,4426,940,22.24,COP,approved,2026-02-12 16:07:31,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,118.94.52.88,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/55.0.876.0 Safari/536.0",1,602,True,1,services,False,2026-02-14,False
TXN00000010,4502,636,20.96,COP,approved,2026-02-22 22:21:20,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,42.250.117.34,Opera/8.58.(Windows 98; lv-LV) Presto/2.9.179 Version/11.00,1,2226,,1,food_beverage,False,2026-02-23,False
TXN00000016,685,247,67.09,COP,approved,2026-03-29 17:00:17,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,74.169.181.24,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2920-04-05 02:36:55.197319 Firefox/3.6.14,1,1399,,1,services,False,2026-03-31,False
TXN00000018,5641,124,61.49,COP,approved,2026-03-15 18:25:29,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,150.126.171.11,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/51.0.818.0 Safari/536.0",1,1372,True,6,tech,False,2026-03-17,False
TXN00000019,3821,602,140.6,COP,approved,2026-03-23 03:51:07,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,23.208.39.151,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/19.0.886.0 Safari/535.2",1,2482,True,12,travel,False,2026-03-25,False
TXN00000023,4360,267,108.13,COP,approved,2026-03-27 19:28:50,credit_card,Mastercard,CO,00,Transaction approved,3.08,3.33,104.8,desktop,67.224.54.143,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ps-AF) AppleWebKit/531.1.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.1.5",1,828,True,1,travel,False,2026-03-29,False
TXN00000040,4753,208,19.51,COP,approved,2026-03-09 05:55:11,credit_card,Diners Club,CO,00,Transaction approved,2.83,0.55,18.96,tablet,141.55.103.87,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/533.46.2 (KHTML, like Gecko) Version/4.0.4 Safari/533.46.2",1,1837,True,1,utilities,False,2026-03-11,False
TXN00000049,7758,885,57.56,COP,approved,2026-03-19 08:07:39,ewallet,PayPal,CO,00,Transaction approved,3.55,2.04,55.52,desktop,177.198.205.21,Opera/8.72.(Windows NT 5.1; bo-CN) Presto/2.9.189 Version/12.00,1,483,,1,travel,False,2026-03-20,False
TXN00000058,3961,219,18.52,COP,pending,2026-03-28 09:59:52,bank_transfer,Transferencia,CO,pending,Pending authorization,0.0,0.0,0.0,tablet,27.48.84.29,Opera/9.58.(X11; Linux i686; ia-FR) Presto/2.9.162 Version/12.00,1,2518,,1,utilities,False,,False
TXN00000059,2465,68,49.02,COP,approved,2026-03-06 15:19:20,bank_transfer,Transferencia,CO,00,Transaction approved,1.94,0.95,48.07,mobile,167.105.197.237,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/28.0.818.0 Safari/535.0",1,2043,,1,entertainment,False,2026-03-07,False
