transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date,is_suspicious
TXN00000001,6719,735,14.89,CLP,approved,2026-01-13 03:47:14,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,86.139.6.221,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; el-CY) AppleWebKit/534.44.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.44.1",1,1491,True,1,retail,False,2026-01-15,True
TXN00000002,4754,465,14.29,MXN,approved,2026-02-15 02:00:59,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,4.241.57.137,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/59.0.867.0 Mobile/30O520 Safari/533.1",1,2275,True,1,other,False,2026-02-16,True
TXN00000003,2912,586,78.59,USD,approved,2026-03-05 19:50:40,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,94.67.78.175,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/17.3s9572.0 Mobile/16E937 Safari/534.2",1,2010,,1,other,True,2026-03-07,True
TXN00000005,8637,677,30.44,CLP,approved,2026-01-12 17:35:45,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,199.146.72.217,API/1.0,1,1920,,1,entertainment,False,2026-01-13,True
TXN00000006,1380,918,24.15,MXN,approved,2026-02-15 02:26:47,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,86.252.15.85,Opera/8.40.(X11; Linux x86_64; dz-BT) Presto/2.9.179 Version/11.00,1,2105,True,1,retail,False,2026-02-17,True
TXN00000008,8087,354,20.61,BRL,approved,2026-02-01 13:32:53,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,60.11.127.215,Opera/8.80.(X11; Linux x86_64; es-PR) Presto/2.9.166 Version/11.00,1,2856,True,1,utilities,False,2026-02-02,True
TXN00000009,2684,589,94.06,USD,approved,2026-01-31 23:48:12,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,204.77.13.45,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0),1,1304,True,12,tech,True,2026-02-02,True
TXN00000011,3172,412,66.55,BRL,approved,2026-01-07 03:30:05,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,146.52.252.226,Mozilla/5.0 (Windows 98; Win 9x 4.90; ts-ZA; rv:1.9.1.20) Gecko/4211-11-18 12:43:10.775192 Firefox/3.8,1,2885,False,1,services,False,2026-01-08,True
TXN00000012,6975,945,65.29,PEN,approved,2026-01-22 05:14:58,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,109.110.53.215,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_1; rv:1.9.6.20) Gecko/3204-04-06 08:32:15.971138 Firefox/3.6.4,1,2210,False,6,food_beverage,False,2026-01-23,True
TXN00000013,8830,260,25.35,BRL,declined,2026-03-03 05:27:42,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,61.87.20.20,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/4.0),3,2618,,1,utilities,False,,True
